reviewer,article,content,sugestion,decision
Arun Mittal,Demand-oblivious routing with planned link pruning.,content review,some sugestion,accepted
Babak Farzad,Demand-oblivious routing with planned link pruning.,content review,some sugestion,accepted
Arvind Ramanathan,Demand-oblivious routing with planned link pruning.,content review,some sugestion,not accepted
Wirt Atmar,Environmental social governance management: a theoretical perspective for the role of disclosure in the supply chain.,content review,some sugestion,accepted
Heike Siebert,Environmental social governance management: a theoretical perspective for the role of disclosure in the supply chain.,content review,some sugestion,accepted
Babak Farzad,Environmental social governance management: a theoretical perspective for the role of disclosure in the supply chain.,content review,some sugestion,not accepted
Hai-Wei Sun,Robotic sound-source localisation architecture using cross-correlation and recurrent neural networks.,content review,some sugestion,accepted
Hen-Wai Tsao,Robotic sound-source localisation architecture using cross-correlation and recurrent neural networks.,content review,some sugestion,accepted
Jiang Ma,Robotic sound-source localisation architecture using cross-correlation and recurrent neural networks.,content review,some sugestion,not accepted
Karl-Heinz Best,"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache.",content review,some sugestion,accepted
Di Li 0003,"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache.",content review,some sugestion,accepted
Robert Finger,"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache.",content review,some sugestion,not accepted
Guangyuan Pan,A nonlinear state estimation framework for humanoid robots.,content review,some sugestion,accepted
Christopher I. Amos,A nonlinear state estimation framework for humanoid robots.,content review,some sugestion,accepted
Vera Tilson,A nonlinear state estimation framework for humanoid robots.,content review,some sugestion,not accepted
Theodosios Pavlidis,Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.,content review,some sugestion,accepted
M. I. Cohen,Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.,content review,some sugestion,accepted
Hermano Frid,Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.,content review,some sugestion,not accepted
Arturo Molina 0001,Wideband Interferometry in Synthetic Aperture Sonar.,content review,some sugestion,accepted
Kanad Chakraborty,Wideband Interferometry in Synthetic Aperture Sonar.,content review,some sugestion,accepted
Constant Solimando,Wideband Interferometry in Synthetic Aperture Sonar.,content review,some sugestion,not accepted
Danni Zhu,Substitutive Systems and a Finitary Version of Cobham's Theorem.,content review,some sugestion,accepted
Huiqin Xie,Substitutive Systems and a Finitary Version of Cobham's Theorem.,content review,some sugestion,accepted
Lukasz Maksymiuk,Substitutive Systems and a Finitary Version of Cobham's Theorem.,content review,some sugestion,not accepted
S. Twomey,Service-Oriented Atmospheric Radiances (SOAR): Gridding and Analysis Services for Multisensor Aqua IR Radiance Data for Climate Studies.,content review,some sugestion,accepted
E. Lerzan Örmeci,Service-Oriented Atmospheric Radiances (SOAR): Gridding and Analysis Services for Multisensor Aqua IR Radiance Data for Climate Studies.,content review,some sugestion,accepted
Arthur J. Davidson,Service-Oriented Atmospheric Radiances (SOAR): Gridding and Analysis Services for Multisensor Aqua IR Radiance Data for Climate Studies.,content review,some sugestion,not accepted
Roy Edgar Hansen,A statistical feature data mining framework for constructing scholars' career trajectories in academic data.,content review,some sugestion,accepted
Lianjun Xiao,A statistical feature data mining framework for constructing scholars' career trajectories in academic data.,content review,some sugestion,accepted
Arturo Molina 0001,A statistical feature data mining framework for constructing scholars' career trajectories in academic data.,content review,some sugestion,not accepted
Theodore Hailperin,Comment on the Public Key Substitution Attacks.,content review,some sugestion,accepted
Karl-Heinz Best,Comment on the Public Key Substitution Attacks.,content review,some sugestion,accepted
Anita Schöbel,Comment on the Public Key Substitution Attacks.,content review,some sugestion,not accepted
Kanad Chakraborty,Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.,content review,some sugestion,accepted
Fabian Rothmaier,Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.,content review,some sugestion,accepted
Norman F. Schneidewind,Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.,content review,some sugestion,not accepted
Chaojiang Wu,Fundamentals of Implementing Real-Time Control Applications in Distributed Computer Systems.,content review,some sugestion,accepted
Hen-Wai Tsao,Fundamentals of Implementing Real-Time Control Applications in Distributed Computer Systems.,content review,some sugestion,accepted
S. Twomey,Fundamentals of Implementing Real-Time Control Applications in Distributed Computer Systems.,content review,some sugestion,not accepted
Danni Zhu,Exponential stability and solution bounds for systems with bounded nonlinearities.,content review,some sugestion,accepted
K. R. Ramakrishnan,Exponential stability and solution bounds for systems with bounded nonlinearities.,content review,some sugestion,accepted
Lianjun Xiao,Exponential stability and solution bounds for systems with bounded nonlinearities.,content review,some sugestion,not accepted
Huijun Wu,Dual-Input Transformer: An End-to-End Model for Preoperative Assessment of Pathological Complete Response to Neoadjuvant Chemotherapy in Breast Cancer Ultrasonography.,content review,some sugestion,accepted
Arturo Molina 0001,Dual-Input Transformer: An End-to-End Model for Preoperative Assessment of Pathological Complete Response to Neoadjuvant Chemotherapy in Breast Cancer Ultrasonography.,content review,some sugestion,accepted
Chi-Wang Shu,Dual-Input Transformer: An End-to-End Model for Preoperative Assessment of Pathological Complete Response to Neoadjuvant Chemotherapy in Breast Cancer Ultrasonography.,content review,some sugestion,not accepted
Louise A. Mawn,A new rough cloud AHP method for risk evaluation of public-private partnership projects.,content review,some sugestion,accepted
Gabriel M. Silberman,A new rough cloud AHP method for risk evaluation of public-private partnership projects.,content review,some sugestion,accepted
Kwok-Kai Soo,A new rough cloud AHP method for risk evaluation of public-private partnership projects.,content review,some sugestion,not accepted
Dinesh Manocha,Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.,content review,some sugestion,accepted
Theodosios Pavlidis,Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.,content review,some sugestion,accepted
Oliver Marschollek,Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.,content review,some sugestion,not accepted
Vera Tilson,CAHR: A Contextually Adaptive Home-Based Rehabilitation Framework.,content review,some sugestion,accepted
David T. Wong,CAHR: A Contextually Adaptive Home-Based Rehabilitation Framework.,content review,some sugestion,accepted
Osama Rashed Sayed,CAHR: A Contextually Adaptive Home-Based Rehabilitation Framework.,content review,some sugestion,not accepted
Chi-Sang Jung,Optimal control of the behavior of solutions of an initial boundary value problem simulating rotation of a solid with an elastic rod.,content review,some sugestion,accepted
Le Deng,Optimal control of the behavior of solutions of an initial boundary value problem simulating rotation of a solid with an elastic rod.,content review,some sugestion,accepted
Ilan Abramovici,Optimal control of the behavior of solutions of an initial boundary value problem simulating rotation of a solid with an elastic rod.,content review,some sugestion,not accepted
E. Lerzan Örmeci,Parallelizing a finite element solver in computational hemodynamics.,content review,some sugestion,accepted
David T. Wong,Parallelizing a finite element solver in computational hemodynamics.,content review,some sugestion,accepted
Arun Mittal,Parallelizing a finite element solver in computational hemodynamics.,content review,some sugestion,not accepted
Danni Zhu,DA-DRLS: Drift adaptive deep reinforcement learning based scheduling for IoT resource management.,content review,some sugestion,accepted
Fabian Rothmaier,DA-DRLS: Drift adaptive deep reinforcement learning based scheduling for IoT resource management.,content review,some sugestion,accepted
