reviewer,article
David Perry,A survey of techniques for architecting SLC/MLC/TLC hybrid Flash memory-based SSDs.
Kwok-Kai Soo,A survey of techniques for architecting SLC/MLC/TLC hybrid Flash memory-based SSDs.
Danni Zhu,A survey of techniques for architecting SLC/MLC/TLC hybrid Flash memory-based SSDs.
K. R. Ramakrishnan,IO and OI. II.
David Alan Grier,IO and OI. II.
Hady Pranoto,IO and OI. II.
Arthur J. Davidson,A clarification of confirmatory composite analysis (CCA).
Fabio Nobile,A clarification of confirmatory composite analysis (CCA).
Heike Siebert,A clarification of confirmatory composite analysis (CCA).
Aku Riihelä,Computationally efficient optimization models for preliminary distillation column design and separation energy targeting.
John T. Fredricksen,Computationally efficient optimization models for preliminary distillation column design and separation energy targeting.
Osama Rashed Sayed,Computationally efficient optimization models for preliminary distillation column design and separation energy targeting.
Arun Mittal,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
Huiqin Xie,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
S. Twomey,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
Dok Nam Lee,"Words, Videos, and Popes."
Qiqi Wang,"Words, Videos, and Popes."
Hady Pranoto,"Words, Videos, and Popes."
Andrew J. Hinchley,Solving Some Affine Equations over Finite Fields.
Renbiao Wu,Solving Some Affine Equations over Finite Fields.
Oliver Marschollek,Solving Some Affine Equations over Finite Fields.
Arun Mittal,Editorial: State of the Journal.
Laurent Chupin,Editorial: State of the Journal.
Karl-Heinz Best,Editorial: State of the Journal.
Arvind Ramanathan,Research on Cluster Economy Operation Model Considering Customer Satisfaction.
Chaojiang Wu,Research on Cluster Economy Operation Model Considering Customer Satisfaction.
N. C. Simpson,Research on Cluster Economy Operation Model Considering Customer Satisfaction.
David T. Wong,"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities."
Constant Solimando,"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities."
Ahmed M. Mohamed,"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities."
Dok Nam Lee,Homogeneous Spiking Neural P Systems.
Gabriel M. Silberman,Homogeneous Spiking Neural P Systems.
Chih-Yuan Yao,Homogeneous Spiking Neural P Systems.
Dok Nam Lee,Spectral Variability Augmented Two-Stream Network for Hyperspectral Sparse Unmixing.
Daniel Cullina,Spectral Variability Augmented Two-Stream Network for Hyperspectral Sparse Unmixing.
Hidehisa Yoshida,Spectral Variability Augmented Two-Stream Network for Hyperspectral Sparse Unmixing.
C. G. Parthipan,"Erratum to ""Finite-Time Asynchronous Stabilization for Nonlinear Hidden Markov Jump Systems with Parameter Varying in Continuous-Time Case""."
David Alan Grier,"Erratum to ""Finite-Time Asynchronous Stabilization for Nonlinear Hidden Markov Jump Systems with Parameter Varying in Continuous-Time Case""."
N. C. Simpson,"Erratum to ""Finite-Time Asynchronous Stabilization for Nonlinear Hidden Markov Jump Systems with Parameter Varying in Continuous-Time Case""."
Chaojiang Wu,Combining multi-target regression deep neural networks and kinetic modeling to predict relative fluxes in reaction systems.
Norman F. Schneidewind,Combining multi-target regression deep neural networks and kinetic modeling to predict relative fluxes in reaction systems.
Robert Finger,Combining multi-target regression deep neural networks and kinetic modeling to predict relative fluxes in reaction systems.
Heike Siebert,Generalized Sphere-Packing Bounds on the Size of Codes for Combinatorial Channels.
Oliver Marschollek,Generalized Sphere-Packing Bounds on the Size of Codes for Combinatorial Channels.
Andrew J. Hinchley,Generalized Sphere-Packing Bounds on the Size of Codes for Combinatorial Channels.
K. R. Ramakrishnan,TOPS Imaging With TerraSAR-X: Mode Design and Performance Analysis.
Laurent Chupin,TOPS Imaging With TerraSAR-X: Mode Design and Performance Analysis.
Roy Edgar Hansen,TOPS Imaging With TerraSAR-X: Mode Design and Performance Analysis.
Renbiao Wu,Building a Technology Recommender System Using Web Crawling and Natural Language Processing Technology.
Keecheon Kim,Building a Technology Recommender System Using Web Crawling and Natural Language Processing Technology.
Anita Schöbel,Building a Technology Recommender System Using Web Crawling and Natural Language Processing Technology.
Christopher I. Amos,Q-Learning Based Physical-Layer Secure Game Against Multiagent Attacks.
Hermano Frid,Q-Learning Based Physical-Layer Secure Game Against Multiagent Attacks.
Adriano Meta,Q-Learning Based Physical-Layer Secure Game Against Multiagent Attacks.
Haowei Xu,GMM-Based KLT-Domain Switched-Split Vector Quantization for LSF Coding.
John T. Fredricksen,GMM-Based KLT-Domain Switched-Split Vector Quantization for LSF Coding.
Di Li 0003,GMM-Based KLT-Domain Switched-Split Vector Quantization for LSF Coding.
Danni Zhu,Factors affecting primary health care centers' economic and production efficiency.
Daniel Cullina,Factors affecting primary health care centers' economic and production efficiency.
Hady Pranoto,Factors affecting primary health care centers' economic and production efficiency.
Keecheon Kim,TEANS: A Target Enhancement and Attenuated Nonmaximum Suppression Object Detector for Remote Sensing Images.
Le Deng,TEANS: A Target Enhancement and Attenuated Nonmaximum Suppression Object Detector for Remote Sensing Images.
Roy Edgar Hansen,TEANS: A Target Enhancement and Attenuated Nonmaximum Suppression Object Detector for Remote Sensing Images.
Guangyuan Pan,A Generative Framework for Image-based Editing of Material Appearance using Perceptual Attributes.
Arturo Molina 0001,A Generative Framework for Image-based Editing of Material Appearance using Perceptual Attributes.
Fabio Nobile,A Generative Framework for Image-based Editing of Material Appearance using Perceptual Attributes.
Erik Meineche Schmidt,Modification and Validation of the DREIDING Force Field for Molecular Liquid Simulations (DREIDING-UT).
Kanad Chakraborty,Modification and Validation of the DREIDING Force Field for Molecular Liquid Simulations (DREIDING-UT).
Aida Pliuskeviciene,Modification and Validation of the DREIDING Force Field for Molecular Liquid Simulations (DREIDING-UT).
Chaojiang Wu,Tensor-Based AAM with Continuous Variation Estimation: Application to Variation-Robust Face Recognition.
Ahmed M. Mohamed,Tensor-Based AAM with Continuous Variation Estimation: Application to Variation-Robust Face Recognition.
Lianjun Xiao,Tensor-Based AAM with Continuous Variation Estimation: Application to Variation-Robust Face Recognition.
K. R. Ramakrishnan,ISAR Imaging of Rotating Target with Equal Changing Acceleration Based on the Cubic Phase Function.
Le Deng,ISAR Imaging of Rotating Target with Equal Changing Acceleration Based on the Cubic Phase Function.
Theodosios Pavlidis,ISAR Imaging of Rotating Target with Equal Changing Acceleration Based on the Cubic Phase Function.
Anna Maria Paganoni,Construction of regular languages and recognizability of polynomials.
Mazen O. Hasna,Construction of regular languages and recognizability of polynomials.
Bita Alipasandi,Construction of regular languages and recognizability of polynomials.
Aku Riihelä,Preface.
Naohisa Komatsu,Preface.
Alper Korkmaz,Preface.
Björn Berghausen,Mobile spoken dialogue system using parser dependencies and ontology.
Luca Schenato 0001,Mobile spoken dialogue system using parser dependencies and ontology.
Babak Farzad,Mobile spoken dialogue system using parser dependencies and ontology.
Hai-Wei Sun,All-Optical Cochlear Implants.
N. C. Simpson,All-Optical Cochlear Implants.
Arvind Ramanathan,All-Optical Cochlear Implants.
Lukasz Maksymiuk,Hyper-Atoms Applied to the Critical Pair Theory.
John T. Fredricksen,Hyper-Atoms Applied to the Critical Pair Theory.
Diogo Poças,Hyper-Atoms Applied to the Critical Pair Theory.
Ilan Abramovici,A Novelty Approach to Retina Diagnosing Using Biometric Techniques With SVM and Clustering Algorithms.
Arthur J. Davidson,A Novelty Approach to Retina Diagnosing Using Biometric Techniques With SVM and Clustering Algorithms.
Aida Pliuskeviciene,A Novelty Approach to Retina Diagnosing Using Biometric Techniques With SVM and Clustering Algorithms.
Abbas Heydari,Structuring and modules for knowledge bases: motivation for a new model.
Anna Maria Paganoni,Structuring and modules for knowledge bases: motivation for a new model.
Lukasz Maksymiuk,Structuring and modules for knowledge bases: motivation for a new model.
C. G. Parthipan,A Macroscopic Traffic Data-Assimilation Framework Based on the Fourier-Galerkin Method and Minimax Estimation.
M. I. Cohen,A Macroscopic Traffic Data-Assimilation Framework Based on the Fourier-Galerkin Method and Minimax Estimation.
Astrid Tannert,A Macroscopic Traffic Data-Assimilation Framework Based on the Fourier-Galerkin Method and Minimax Estimation.
Oliver Marschollek,Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.
Constant Solimando,Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.
Louise A. Mawn,Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.
Amir Bozorgzadeh,Beyond the Impact Factor: measuring the international visibility of Romanian social sciences journals.
John T. Fredricksen,Beyond the Impact Factor: measuring the international visibility of Romanian social sciences journals.
Theodosios Pavlidis,Beyond the Impact Factor: measuring the international visibility of Romanian social sciences journals.
Jiaqi Zhang 0001,A High Precision Direction-Finding Method Based on Multi-Baseline for Target Rescue.
Moulay A. Barkatou,A High Precision Direction-Finding Method Based on Multi-Baseline for Target Rescue.
Hidehisa Yoshida,A High Precision Direction-Finding Method Based on Multi-Baseline for Target Rescue.
Keecheon Kim,Test Power Reduction Using Integrated Scan Cell and Test Vector Reordering Techniques on Linear Scan and Double Tree Scan Architectures.
Naohisa Komatsu,Test Power Reduction Using Integrated Scan Cell and Test Vector Reordering Techniques on Linear Scan and Double Tree Scan Architectures.
Diogo Poças,Test Power Reduction Using Integrated Scan Cell and Test Vector Reordering Techniques on Linear Scan and Double Tree Scan Architectures.
Constant Solimando,Dominating sets in triangulations on surfaces.
Vera Tilson,Dominating sets in triangulations on surfaces.
Fabian Rothmaier,Dominating sets in triangulations on surfaces.
Jiang Ma,An integrated risk measurement and optimization model for trustworthy software process management.
Jiaqi Zhang 0001,An integrated risk measurement and optimization model for trustworthy software process management.
C. G. Parthipan,An integrated risk measurement and optimization model for trustworthy software process management.
